Tweet_count,Username,Text,Created At,Retweets,Likes
1,hakim laalam,"Dézédiennes, Dézédiens, bonjour ! Ma chronique du jour : 
« Oui Djidji ! Je vous accuse du crime de non-conformité avec les clichés et stéréotypes de la politique fast-food ! »
#France #Algérie https://t.co/UxrsFFewXz",Mon Feb 10 05:29:50 +0000 2025,46,144
2,Ilyassino✊🏽🇲🇦,"Salam la famille je viens tout juste d’ouvrir un nouveau fast food dans le 93, 

Ça s’appelle YOYO ADDICT c’est au 14 Rue Richard Gardebled à Rosny-sous-Bois. 

Smash burger, philly’s, bowl, salades…

Venez tester et la viande est fraîche ! https://t.co/FeMAZrRBlR",Thu Feb 13 00:38:54 +0000 2025,72,143
3,By Waly.🇸🇳,"🚨📌Les Bienfaits du Sport il faut qu'on l'explique à certaines personnes surtout les femmes!!!
Elles sont les plus addictes aux Fast Food, Sucreries, Piments, boissons gazeuses mais ne font pas de sport😔 https://t.co/1FgmJLaHpw",Sun Feb 09 15:29:35 +0000 2025,8,168
4,France Travail Bretagne,"Avec l’aide des équipes @FranceTravail de Guingamp, l’enseigne de fast-food avance sur son #recrutement : 75 postes sont à pourvoir dans un premier temps ⤵️
https://t.co/Ionk6EueeS",Fri Feb 14 07:21:43 +0000 2025,3,3
5,Darkheaven,"C'est parti pour Fast Food Simulator avec la team !

► https://t.co/W4MLGODGUt https://t.co/7ImZvx0wi2",Tue Feb 11 20:32:17 +0000 2025,0,3
6,RD van GOTTE 🇨🇳 🫡🤫😉,"🏆 AWARD ROUCHAMEN OWNER 🏆 

Le meilleur fast food",Mon Feb 17 18:50:08 +0000 2025,2,3
7,Len Al Maliki القرافي🦚,"Mange halal et tayyib, évite fast food, tacos, burger bien que c'est halal ce n'est pas tayyib.

D'autant plus, majoritairement c'est riche en mauvaise graisse et peu qualitative, nuisible pour le corps plus encore sans activité physique

Cela devrait être occasionnel",Thu Feb 13 12:47:28 +0000 2025,82,408
8,WANDAFU!🇨🇲🇨🇫📍🇫🇷,"🔴🇨🇲 Restaurant Tchop et Yamo. 
Tchopetyamo fast-food - Good Food 🇨🇲
🕕 Ouvert 7j/7de 6h30 à 23h
📍Yaoundé
📍Douala
📍Bafoussam
📍Dubaï
📞 694366526 / 694078946 / 678249158 https://t.co/N1DHYsTx7q",Fri Feb 14 12:12:29 +0000 2025,4,9
9,Hubert MESSMER  🏃🏻‍♂️🧘‍♂️ 🎶,"Plus vous êtes coincés dans les embouteillages, plus vous mangez de la malbouffe https://t.co/dnGXWSqvNG https://t.co/7G9jc8wDLv",Tue Feb 18 06:34:27 +0000 2025,0,0
10,jasznn,Popeyes Chicken est le pire fast-food que j’ai mangé de ma vie,Sun Feb 23 02:47:35 +0000 2025,0,2
